arroyo,n. a stream or brook
embolden,v give encouragement to
exhort,"v spur on or encourage especially by cheers and shouts
v force or impel in an indicated direction"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
goad,"n. a verbalization that encourages you to attempt something
v. urge with or as if with a goad
v. stab or urge on as if with a pointed stick"
hearten,v give encouragement to
hortative,s giving strong encouragement
incentive,n. a positive motivational influence
incite,v. provoke or stir up
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
invigorate,"v. impart vigor, strength, or vitality to"
invigorating,a. imparting strength and vitality
refresh,"v. make (to feel) fresh
v. make fresh again"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
stimulus,n any stimulating information or event; acts to arouse action
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
whet,"v. make keen or more acute
v. sharpen by rubbing, as on a whetstone"
invidious,s containing or implying a slight or showing prejudice
jealousy,"n. a feeling of jealous envy (especially of a rival)
n. zealous vigilance"
economical,s. avoiding waste
abnegation,"n. the denial and rejection of a doctrine or belief
n. renunciation of your own interests in favor of the interests of others"
abstain,"v. refrain from voting
v. choose not to consume"
abstention,n the trait of abstaining (especially from alcohol)
abstentious,a. Characterized by abstinence; self-restraining.
abstinent,s. self-restraining; not indulging an appetite especially for food or drink
constrained,s. lacking spontaneity; not natural
continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
forbearance,n. a delay in enforcing rights or claims or privileges; refraining from acting
sobriety,"n. moderation in or abstinence from alcohol or other drugs
n. abstaining from excess"
asceticism,"n. the doctrine that through renunciation of worldly pleasures it is possible to achieve a high spiritual or intellectual state
n. rigorous self-denial and active self-restraint"
continence,"n. the exercise of self constraint in sexual matters
n. voluntary control over urinary and fecal discharge"
bar,"n. a counter where you can obtain food or drink
n. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
n. an obstruction (usually metal) placed at the top of a goal
n. (meteorology) a unit of pressure equal to a million dynes per square centimeter"
curfew,"n. the time that the curfew signal is sounded
n. a signal (usually a bell) announcing the start of curfew restrictions
n. an order that after a specific time certain activities (as being outside on the streets) are prohibited"
debar,v. prevent the occurrence of; prevent from happening
forbid,v. command against
interdict,"n. an ecclesiastical censure by the Roman Catholic Church withdrawing certain sacraments and Christian burial from a person or all persons in a particular district
n. a court order prohibiting a party from doing a certain activity
v. destroy by firepower, such as an enemy's line of communication"
licit,a. sanctioned by custom or morality especially sexual morality
proscribe,v command against
taboo,"n. a prejudice (especially in Polynesia and other South Pacific islands) that prohibits the use or mention of something because of its sacred nature
n. an inhibition or ban resulting from social custom or emotional aversion
v. declare as sacred and forbidden
s. forbidden to profane use especially in South Pacific islands"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
crusade,"n. any of the more or less continuous military expeditions in the 11th to 13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims
v. exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for
v. go on a crusade; fight a holy war"
vie,v compete for something; engage in a contest; measure oneself against others
vying,v compete for something; engage in a contest; measure oneself against others
regatta,n. a meeting for boat races
amplify,v. increase the volume of
bulge,"n. something that bulges out or is protuberant or projects from its surroundings
v. swell or protrude outwards
v. bulge out; form a bulge outward, or be so full as to appear to bulge
v. cause to bulge or swell outwards"
dilate,v. become wider
distend,"v. cause to expand as it by internal pressure
v. swell from or as if from internal pressure"
distension,"n the act of expanding by pressure from within
n the state of being stretched beyond normal dimensions"
distention,n. the act of expanding by pressure from within
escalate,v. increase in extent or intensity
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
flatulence,n. a state of excessive gas in the alimentary canal
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
intumescence,"n. swelling up with blood or other fluids (as with congestion)
n. the increase in volume of certain substances when they are heated (often accompanied by release of water)"
maximize,"v. make as big or large as possible
v. make the most of"
swell,"n. the undulating movement of the surface of the open sea
n. a rounded elevation (especially one on an ocean floor)
n. a crescendo followed by a decrescendo
v. increase in size, magnitude, number, or intensity"
tumid,s. of sexual organs; stiff and rigid
agnostic,"n. someone who is doubtful or noncommittal about something
n. a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
a. of or pertaining to an agnostic or agnosticism"
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
comprehensible,a. capable of being comprehended or understood
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
misperceive,v. perceive incorrectly
scrutable,"a. Discoverable by scrutiny, inquiry, or critical
   examination."
cognitive,a. of or being or relating to or involving cognition
misconstrue,v. interpret in the wrong way
availability,n the quality of being at hand when needed
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
capitalize,"v. draw advantages from
v. supply with capital, as of a business by using a combination of capital used by investors and debt capital provided by lenders
v. write in capital letters
v. compute the present value of a business or an income"
communal,"s. for or by a group rather than individuals
a. relating to a small administrative district or community"
disposable,"n. an item that can be disposed of after it has been used
a. free or available for use or disposition
a. designed to be disposed of after use"
exert,"v. put to use
v. make a great effort at a mental or physical task"
feasible,s. capable of being done with means at hand and circumstances as they are
functional,"a. designed for or capable of a particular function or use
a. involving or affecting function rather than physiology
a. relating to or based on function especially as opposed to structure; it is a functional one""
s. fit or ready for use or service"
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
interaction,"n. a mutual or reciprocal action; interacting
n. (physics) the transfer of energy between elementary particles or between an elementary particle and a field or between fields; mediated by gauge bosons"
odds,"n. the likelihood of a thing occurring rather than not occurring
n. the ratio by which one better's wager is greater than that of another"
serviceable,"a. ready for service or able to give long service
s. capable of being put to good use
s. intended or able to serve a purpose without elaboration;"
underutilized,none
untapped,"a. not subjected to tapping
s. not drawn upon or used"
utilize,v. convert (from an investment trust to a unit trust)
layover,n a brief stay in the course of a journey
odyssey,"n. a long wandering and eventful journey
n. a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy"
peregrination,n. traveling or wandering around
riddle,"n. a difficult problem
n. a coarse sieve (as for gravel)
v. pierce with many holes
v. set a difficult problem or riddle"
unfathomed,s situated at or extending to great depth; too deep to have been sounded or plumbed
labyrinthine,"a. relating to or affecting or originating in the inner ear
s. resembling a labyrinth in form or complexity"
perplex,v. be a mystery or bewildering to
astray,r. away from the right path or direction
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
befuddle,v. make stupid with alcohol
befuddlement,n confusion resulting from failure to understand
bemused,s. deeply absorbed in thought
bewilder,v. cause to be confused emotionally
bewildering,"v be a mystery or bewildering to
v cause to be confused emotionally"
captivate,v attract; cause to be enamored
confound,"v be confusing or perplexing to; cause to be unable to think clearly
v mistake one thing for another"
daze,"n. the feeling of distress and disbelief that you have when something bad happens accidentally
n. confusion characterized by lack of clarity"
delirious,"s. experiencing delirium
s. marked by uncontrolled excitement or emotion"
discomfited,imp. & p. p. of Discomfit
enthrall,v hold spellbound
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
illusive,s. based on or having the nature of an illusion
labyrinth,"n complex system of paths or tunnels in which it is easy to get lost
n a complex system of interconnecting cavities; concerned with hearing and equilibrium"
maze,n. complex system of paths or tunnels in which it is easy to get lost
nonplus,v be a mystery or bewildering to
obfuscate,v. make obscure or unclear
straggle,n. a wandering or disorderly grouping (of things or persons)
fluster,"v. be flustered; behave in a confused manner
v. cause to be nervous or upset"
bewitch,"v attract; cause to be enamored
v attract strongly, as if with a magnet
v cast a spell over someone or something; put a hex on someone or something"
adhesive,a. tending to adhere
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
glutinous,s having the sticky properties of an adhesive
tackiness,"n the property of being cohesive and sticky
n tastelessness by virtue of being cheap and vulgar"
viscid,s having the sticky properties of an adhesive
viscous,"s having a relatively high resistance to flow
s having the sticky properties of an adhesive"
cohere,"v. cause to form a united, orderly, and aesthetically consistent whole
v. have internal elements or parts logically connected so that aesthetic consistency results"
crumble,"v. fall apart
v. break or fall apart into fragments"
fragile,s. vulnerably delicate
friable,s easily broken into small fragments or reduced to powder
mince,"n. food chopped into small bits
v. make less severe or harsh
v. walk daintily
v. cut into small pieces"
scrappy,s. full of fighting spirit
squash,"n. any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
n. edible fruit of a squash plant; eaten as a vegetable
n. a game played in an enclosed court by two or four players who strike the ball with long-handled rackets
v. to compress with violence, out of natural shape or condition"
extrude,v. form or shape by forcing through an opening
obviate,v. do away with
preclude,"v. make impossible, especially beforehand"
repulsion,"n. the force by which bodies repel one another
n. the act of repulsing or repelling an attack; a successful defensive stand"
supplant,v. take the place or move into the position of
supposition,n. the cognitive process of supposing
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
arbitrate,v act between parties with a view to reconciling differences
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
assessment,"n. an amount determined as payable
n. the market value set on assets"
evaluation,"n. act of ascertaining or fixing the value or worth of
n. an appraisal of the value of something"
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
ponderable,a. capable of being weighed or considered
umpire,n. an official at a baseball game
feebleminded,s retarded in intellectual development
capsize,v. overturn accidentally
topple,v. cause to topple or tumble by pushing
mischief,n. reckless or malicious behavior that causes discomfort or annoyance in others
perdition,n (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
deface,v. mar or spoil the appearance of
demolish,"v. destroy completely
v. defeat soundly"
demolition,n. the act of demolishing
destructible,a. easily destroyed
devastate,v. overwhelm or overpower
disfigure,v mar or spoil the appearance of
mar,v. make imperfect
marred,s. blemished by injury or rough wear
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
raze,v tear down so as to make flat with the ground
sabotage,"n. a deliberate act of destruction or disruption in which equipment is damaged
v. destroy property or hinder normal operations"
shattered,s. ruined or disrupted
subversive,"n a radical supporter of political or social revolution
s in opposition to a civil authority or government"
subvert,v. destroy completely
trample,"n. the sound of heavy treading or stomping
v. injure by trampling or as if by trampling"
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
unscathed,s not injured
vandalism,n. willful wanton and malicious destruction of the property of others
vandalize,"v. destroy wantonly, as through acts of vandalism"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
excise,"n. a tax that is measured by the amount of business done (not on property or income from real estate)
v. levy an excise tax on
v. remove by cutting"
incise,v. make an incision into by carving or cutting
intersect,v. meet at a point
laminate,"n. a sheet of material made by bonding two or more sheets or layers
v. create laminate by bonding sheets of material with a bonding material
v. press or beat (metals) into thin sheets"
mutilate,"v. destroy or injure severely
v. destroy or injure severely"
serrate,"v. make saw-toothed or jag the edge of
s. notched like a saw with teeth pointing toward the apex"
serration,"n. the condition of being serrated
n. a row of notches
n. a single notch in a row of notches"
debark,v go ashore
dismantle,"v tear down so as to make flat with the ground
v take apart into its constituent pieces
v take off or remove"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
deseam,none
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
exorcise,v. expel through adjuration or prayers
expunge,v remove by erasing or crossing out or as if by drawing a line
expurgate,v edit by omitting or modifying parts considered indelicate
supersede,v take the place or move into the position of
unmask,"v. reveal the true nature of
v. take the mask off"
conjure,"v summon into action or bring into existence, often as if by magic
v ask for or request earnestly
v engage in plotting or enter into a conspiracy, swear together"
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
beseech,v ask for or request earnestly
entreat,v ask for or request earnestly
entreaty,n. earnest or urgent request
implore,v call upon in supplication; entreat
importune,v. beg persistently and urgently
imprecation,"n. the act of calling down a curse that invokes evil (and usually serves as an insult)
n. a slanderous accusation"
intercede,v. act between parties with a view to reconciling differences
invoke,v. cite as an authority; resort to
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
suppliant,s. humbly entreating
supplicate,"v. ask humbly (for something)
v. make a humble, earnest petition
v. ask for humbly or earnestly, as in prayer"
cadge,"v ask for and get free; be a parasite
v obtain or seek to obtain by cadging or wheedling"
unbidden,"a. Not bidden; not commanded.
a. Uninvited; as, unbidden guests.
a. Being without a prayer."
appealing,a. able to attract interest or draw favorable attention
adjuration,n. a solemn and earnest appeal to someone to do something
deport,"v behave in a certain manner
v hand over to the authorities of another country
v expel from a country"
deportation,n. the expulsion from a country of an undesirable alien
dislodge,"v. remove or force out from a position
v. remove or force from a position of dwelling previously occupied"
evict,"v. expel or eject without recourse to legal process
v. expel from one's property or force to move out by a legal process"
eviction,"n. action by a landlord that compels a tenant to leave the premises (as by rendering the premises unfit for occupancy); no physical expulsion or legal process is involved
n. the expulsion of someone (such as a tenant) from the possession of land by process of law"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
ostracism,n. the act of excluding someone from society by general consent
ostracize,v. avoid speaking to or dealing with
oust,"v. remove from a position or office
v. remove and replace"
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
expel,v. force to leave or move out
expulsion,n. the act of expelling or projecting or ejecting
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
defrock,v. divest of the frock; of church officials
countermand,n. a contrary command cancelling or reversing a previous command
irrevocable,a. incapable of being retracted or revoked
bowdlerize,v. edit by omitting or modifying parts considered indelicate
deplete,v use up (resources or materials)
disabuse,v. free somebody (from an erroneous belief)
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
foreclose,v. subject to foreclosing procedures; take away the right of mortgagors to redeem their mortgage
wean,"v. gradually deprive (infants and young mammals) of mother's milk
v. detach the affections of"
extirpate,v. surgically remove (an organ)
delete,v. remove or make invisible
abide,"v dwell
v put up with something or somebody unpleasant"
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
endure,"v put up with something or somebody unpleasant
v face and withstand with courage
v continue to live through hardship or adversity
v undergo or be subjected to
v last and be usable
v persist for a specified period of time
v continue to exist"
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
sustain,"v. supply with necessities and support
v. admit as valid"
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
tolerance,"n. the power or capacity of an organism to tolerate unfavorable environmental conditions
n. the act of tolerating something
n. willingness to recognize and respect the beliefs or practices of others"
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
forbear,v. refrain from doing
stamina,n. enduring strength and energy
bestow,v. give as a gift
boon,s. very close and convivial
confer,"v. have a conference in order to talk something over
v. present"
donate,v. give to a charity or good cause
garland,"n. United States singer and film actress (1922-1969)
n. a city in northeastern Texas (suburb of Dallas)
v. adorn with bands of flowers or leaves"
largess,n. a gift or money given (as for service or out of benevolence); usually given ostentatiously
medal,n an award for winning a championship or commemorating some other event
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
eleemosynary,s generous in assistance to the poor
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
allege,v. report or maintain
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
avowal,n. a statement asserting the existence or the truth of something
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
construe,v make sense of; assign a meaning to
decipher,v. read with difficulty
decode,v. convert code into ordinary language
elaboration,n. developing in intricate and painstaking detail
elucidate,"v make clear and (more) comprehensible
v make free from confusion or ambiguity; make clear"
evince,v give expression to
explicable,a. capable of being explicated or accounted for
explicate,"v. elaborate, as of theories and hypotheses"
expository,s. serving to expound or set forth
expound,"v add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v state"
illustrate,"v. depict with an illustration
v. supply with illustrations"
iterate,v. run or be performed again
legend,n. a story about mythical or supernatural beings or events
manifesto,n. a public declaration of intentions (as issued by a political party or government)
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
proclamation,n. the formal act of proclaiming; giving public notice
promulgate,v. put a law into effect by formal declaration
publicize,v. make public
prescriptive,a. pertaining to giving directives or rules
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
apprise,"v inform (somebody) of something
v make aware of
v gain in value
v increase the value of"
cogent,s. powerfully persuasive
exposition,"n. a systematic interpretation or explanation (usually written) of a specific topic
n. an account that sets forth the meaning or intent of a writing or discourse
n. (music) the section of a movement (especially in sonata form) where the major musical themes first occur"
exegesis,n. an explanation or critical interpretation (especially of the Bible)
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
excogitate,"v come up with (an idea, plan, explanation, theory, or principle) after a mental effort
v reflect deeply on a subject"
ideology,n. imaginary or visionary theorization
incogitant,a. Toughtless; inconsiderate.
introspective,a. given to examining own sensory and perceptual experiences
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
meditation,"n. continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
n. (religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
muse,"n. in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
n. the source of an artist's inspiration"
opine,v. express one's opinion openly and without fear or hesitation
ponder,v reflect deeply on a subject
premeditate,"v. consider, ponder, or plan (an action) beforehand
v. think or reflect beforehand or in advance"
premeditated,a. characterized by deliberate purpose and some degree of planning
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
reminisce,v. recall the past
retrace,"v to go back over again
v reassemble mentally"
ruminate,v. chew the cuds
ruminative,s deeply or seriously thoughtful; 
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
speculative,"s not financially safe or secure
s not based on fact or investigation
s showing curiosity"
unpremeditated,"s. not prepared or planned in advance
a. not premeditated"
retrospective,"n. an exhibition of a representative selection of an artist's life work
a. concerned with or related to the past"
reminiscence,n. a mental impression retained and recalled from the past
scruple,"n. a unit of apothecary weight equal to 20 grains
n. uneasiness about the fitness of an action
n. an ethical or moral principle that inhibits action"
cerebration,n the process of using your mind to consider something carefully
contravene,"v go against, as of rules and laws
v deny the truth of"
infringe,"v go against, as of rules and laws
v advance beyond the usual limit"
transgress,"v. act in disregard of laws, rules, contracts, or promises
v. spread over land, especially along a subsiding shoreline
v. pass beyond (limits or boundaries)"
counterproductive,s. tending to hinder the achievement of a goal
debrief,v. put someone through a debriefing and make him report
feedback,"n. the process in which part of the output of a system is returned to its input in order to regulate its further output
n. response to an inquiry or experiment"
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
interrogate,"v. transmit (a signal) for setting off an appropriate response, as in telecommunication
v. pose a series of questions to"
pry,"v. to move or force, especially in an effort to get something open
v. be nosey
v. make an uninvited or presumptuous inquiry"
query,"n an instance of questioning
v pose a question"
rejoin,v. join again
rejoinder,"n. a quick reply to a question or remark (especially a witty or critical one)
n. (law) a pleading made by a defendant in response to the plaintiff's replication"
repartee,n. adroitness and cleverness in reply
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
responsiveness,"n. responsive to stimulation
n. the quality of being responsive; reacting quickly; as a quality of people, it involves responding with emotion to people and events"
catechism,"n. a series of question put to an individual (such as a political candidate) to elicit their views
n. an elementary book summarizing the principles of a Christian religion; written as questions and answers"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
advert,"n a public promotion of some product or service
v give heed (to)
v make a more or less disguised reference to
v make reference to"
bewitching,s. capturing interest as if by a spell
cynosure,"n. something that provides guidance (as Polaris guides mariners)
n. something that strongly attracts attention and admiration"
desirable,"a. worth having or seeking or achieving
s. worthy of being chosen especially as a spouse"
enchant,v. hold spellbound
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
entrancing,"v attract; cause to be enamored
v put into a trance
s capturing interest as if by a spell"
fetching,s. very attractive; capturing interest
gripping,"v hold fast or firmly
v to grip or seize, as in a wrestling match
v to render motionless, as with a fixed stare or by arousing terror or awe
s capable of arousing and holding the attention"
heed,v. pay close attention to; give heed to
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
infatuated,"v arouse unreasoning love or passion in and cause to behave in an irrational way
s marked by foolish or unreasoning fondness"
liaison,n. a channel for communication between groups
lure,n. qualities that attract by seeming to promise some kind of reward
pall,"n. burial garment in which a corpse is wrapped
v. become less interesting or attractive
v. cover with a pall
v. cause to become flat"
ravishing,s. stunningly beautiful
rivet,"n. heavy pin having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together
v. fasten with a rivet or rivets
v. hold (someone's attention)"
riveting,"v direct one's attention on something
v fasten with a rivet or rivets
v hold (someone's attention)
s capable of arousing and holding the attention"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
unprepossessing,s. creating an unfavorable or neutral first impression
inviting,a. attractive and tempting
tantalizing,"s. arousing desire or expectation for something unattainable or mockingly out of reach
s. very pleasantly inviting"
inducement,n. act of bringing about a desired result
tantalize,v harass with persistent criticism or carping
allure,n. the power to entice or attract through personal charm
confide,v. reveal in private; tell confidentially
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
credence,n. the mental attitude that something is believable and should be accepted as true
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
credo,n any system of principles or beliefs
credulous,"a. disposed to believe on little evidence
s. showing a lack of judgment or experience"
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
fabulous,"s. extremely pleasing
s. based on or told of in traditional stories; lacking factual basis or historical validity
s. barely credible"
implausible,a. having a quality that provokes disbelief
reliance,"n. certainty based on past experience
n. the state of relying on something"
tenet,n a religious doctrine that is proclaimed as true without proof
trustworthy,"a. worthy of trust or belief
s. taking responsibility for one's conduct and obligations"
impossibly,r. to a degree impossible of achievement
incredible,a. beyond belief or understanding
gyrate,v. to wind or move in a spiral course
pivot,"n. the person in a rank around whom the others wheel and maneuver
n. axis consisting of a short shaft that supports something that turns
n. the act of turning on (or as if on) a pivot
v. turn on a pivot"
reel,"n. a roll of photographic film holding a series of frames to be projected by a movie projector
n. music composed for dancing a reel
n. winder consisting of a revolving spool with a handle; attached to a fishing rod
n. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps"
rotate,"v. exchange on a regular basis
v. perform a job or duty on a rotating basis
v. cause to turn on an axis or center"
slue,"v turn sharply; change direction abruptly
v move obliquely or sideways, usually in an uncontrolled manner"
swing,"n. a state of steady vigorous action that is characteristic of an activity
n. mechanical device used as a plaything to support someone swinging back and forth
n. a sweeping blow or stroke
n. changing location by moving back and forth"
swirl,"n the shape of something rotating rapidly
v turn in a twisting or spinning motion
v flow in a circular current, of liquids"
burrow,"n. a hole made by an animal, usually for shelter
v. move through by or as by digging"
elicit,v. derive by reason
exhume,v dig up for reburial or for medical investigation; of dead bodies
grope,"n. the act of groping; and instance of groping
v. feel about uncertainly or blindly
v. search blindly or uncertainly
v. fondle for sexual pleasure"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
trawl,"n. a long fishing line with many shorter lines and hooks attached to it (usually suspended between buoys)
n. a conical fishnet dragged through the water at great depths
v. fish with trawlers"
oppress,v. come down on or keep down by unjust use of one's authority
persecute,v. cause to suffer
quash,"v put down by force or intimidation
v declare invalid"
quell,v. overcome or allay
repressed,"v put down by force or intimidation
v conceal or hide
v put out of one's consciousness
v block the action of
s characterized by or showing the suppression of impulses or emotions"
scotch,"n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
v. make a small cut or score into"
squelch,"v. suppress or crush completely
v. make a sucking sound
v. walk through mud or mire"
stanch,v stop the flow of a liquid
subjugate,v. make subservient; force to submit or subdue
vanquish,"v come out better in a competition, race, or conflict"
victimize,"v. make a victim of
v. punish unjustly
v. deprive of by deceit"
abhor,v. find repugnant
abominate,v find repugnant
blasé,none
disagreeable,"a. not to your liking
s. unpleasant to interact with
s. not agreeing with your tastes or expectations"
exceptionable,s. liable to objection or debate; used of something one might take exception to
loathe,v find repugnant
obnoxious,s causing disapproval or protest
odious,s unequivocally detestable
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
rebarbative,s. serving or tending to repel
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
repellent,"n. a compound with which fabrics are treated to repel water
n. a chemical substance that repels animals
n. the power to repel
s. incapable of absorbing or mixing with"
