fray,v. wear away by rubbing
fated,"v decree or designate beforehand
v make fat or plump
s (usually followed by `to') determined by tragic fate"
fateful,"s. having momentous consequences; of decisive importance
s. ominously prophetic"
fat-head,n. a man who is a stupid incompetent fool
fatherland,n. the country where you were born
fatuous,s devoid of intelligence
faucet,n. a regulator for controlling the flow of a liquid from a reservoir
favoritism,n. an inclination to favor some person or group
faze,v. disturb the composure of
featherbrained,s lacking seriousness; given to frivolity
feckless,"s. not fit to assume responsibility
s. generally incompetent and ineffectual"
fecund,"s. capable of producing offspring or vegetation
s. intellectually productive"
federalism,n. the idea of a federal organization of more or less self-governing units
federalist,"n. a member of a former political party in the United States that favored a strong centralized federal government
n. an advocate of federalism"
federate,"v. enter into a league for a common purpose
v. unite on a federal basis or band together as a league
s. united under a central government"
feebleminded,s retarded in intellectual development
felicity,n. pleasing and appropriate manner or style (especially manner or style of expression)
felony,n. a serious crime (such as murder or arson)
femininity,n. the trait of behaving in ways considered typical for women
fen,n. 100 fen equal 1 yuan in China
fence,"n. a barrier that serves to enclose an area
n. a dealer in stolen property
v. enclose with a fence
v. receive stolen goods"
fender,"n. a barrier that surrounds the wheels of a vehicle to block splashing water or mud
n. an inclined metal frame at the front of a locomotive to clear the track
n. a low metal guard to confine falling coals to a hearth"
ferocity,n. the property of being wild or turbulent
ferret,"n. domesticated albino variety of the European polecat bred for hunting rats and rabbits
v. hound or harry relentlessly
v. hunt with ferrets"
festive,s offering fun and gaiety
festivity,n any joyous diversion
festoon,"n. a curtain of fabric draped and bound at intervals to form graceful curves
n. an embellishment consisting of a decorative representation of a string of flowers suspended between two points; used on pottery or in architectural work
n. flower chains suspended in curves between points as a decoration
v. decorate with strings of flowers"
fetching,s. very attractive; capturing interest
fete,n. an elaborate party (often outdoors)
fetid,s. offensively malodorous
fetish,"n. a form of sexual desire in which gratification depends to an abnormal degree on some object or item of clothing or part of the body
n. excessive or irrational devotion to some activity"
fetus,n. an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal
foetus,n an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal
feverish,"s. marked by intense agitation or emotion
s. having or affected by a fever"
fiasco,n a sudden and violent collapse
fiberglass,n. a covering material made of glass fibers in resins
fictitious,"s formed or conceived by the imagination
s adopted in order to deceive"
fiddly,none
fieldwork,n. a temporary fortification built by troops in the field
fiendish,s extremely evil or cruel; expressive of cruelty or befitting hell
fig,"n. Mediterranean tree widely cultivated for its edible fruit
n. fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried"
figment,n. a contrived or fantastic idea
figurative,a. (used of the meanings of words or text) not literal; using figures of speech
finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
finalist,n. a contestant who reaches the final stages of a competition
finely,"r. in tiny pieces
r. in an elegant manner
r. in a delicate manner"
finery,n. elaborate or showy attire and accessories
finesse,n subtly skillful handling of a situation
fingertip,n. the end (tip) of a finger
finicky,s exacting especially about details
fire-bomb,v. attack with incendiary bombs
firebrand,"n a piece of wood that has been burned or is burning
n someone who deliberately foments trouble"
firebrick,n. brick made of fire clay; used for lining e.g. furnaces and chimneys
firedamp,n. a mixture of gases (mostly methane) that form in coal mines and become explosive when mixed with air
firepower,n. (military) the relative capacity for delivering fire on a target
fishmonger,n. someone who sells fish
fissure,"n. (anatomy) a long narrow slit or groove that divides an organ into lobes
v. break into fissures or fine cracks"
fitting,"n. a small and often standardized accessory to a larger system
n. putting clothes on to see whether they fit
s. in harmony with the spirit of particular persons or occasion
s. being precisely fitting and right"
fixer,n. someone who intervenes with authorities for a person in trouble (usually using underhand or illegal methods for a fee)
fixture,n. an object firmly fixed in place (especially in a household)
flabby,s out of condition; not strong or robust; incapable of exertion or endurance
flagpole,n. a tall staff or pole on which a flag is raised
